topic;terms
1;life, death, representatives, moral, abortion
2;parliament, constitution, power, committee, federal
3;party, prime_minister, time, country, parliament
4;per_cent, time, question, industry, country
5;education, care, health, schools, funding
6;tax, income, taxation, budget, treasurer
7;tariff, duty, per_cent, industry, duties
8;pension, scheme, week, service, time
9;industrial, union, workers, court, arbitration
10;clause, section, law, person, matter
11;time, industry, development, matter, country
12;time, committee, industry, business, question
13;time, tax, per_cent, industry, parliament
14;time, tax, budget, million, per_cent
15;war, service, department, public, parliament
16;notice, question, department, answer, education
17;community, time, support, national, committee
18;war, country, defence, world, policy
19;industry, wheat, wool, per_cent, board
20;land, matter, time, money, question
